order_id,customer_id,product_id,quantity,revenue,order_status
ORD-0001,C001,P05,2,1021.72,COMPLETED
ORD-0002,C001,P01,1,13426.03,COMPLETED
ORD-0003,C002,P05,3,1503.34,COMPLETED
ORD-0004,C002,P04,3,3940.3,COMPLETED
ORD-0005,C002,P01,2,28179.83,COMPLETED
ORD-0006,C002,P05,3,1468.16,COMPLETED
ORD-0007,C003,P03,2,6268.13,COMPLETED
ORD-0008,C003,P03,1,3019.67,COMPLETED
ORD-0009,C003,P05,3,1464.5,COMPLETED
ORD-0010,C004,P02,3,29858.08,COMPLETED
ORD-0011,C004,P04,3,4628.81,COMPLETED
ORD-0012,C004,P05,3,1333.39,COMPLETED
ORD-0013,C004,P01,2,26610.26,COMPLETED
ORD-0014,C004,P05,1,493.3,COMPLETED
ORD-0015,C005,P02,2,19807.81,COMPLETED
ORD-0016,C005,P05,3,1415.87,COMPLETED
ORD-0017,C005,P02,3,28712.6,COMPLETED
ORD-0018,C005,P01,3,41233.75,COMPLETED
ORD-0019,C005,P05,2,937.43,COMPLETED
ORD-0020,C006,P01,3,44641.91,COMPLETED
ORD-0021,C006,P04,1,1524.68,COMPLETED
ORD-0022,C006,P03,3,9738.7,COMPLETED
ORD-0023,C006,P05,1,493.25,COMPLETED
ORD-0024,C007,P02,3,28087.55,COMPLETED
ORD-0025,C007,P01,3,44386.93,COMPLETED
ORD-0026,C007,P05,2,1006.15,COMPLETED
ORD-0027,C007,P05,2,963.75,COMPLETED
ORD-0028,C008,P02,1,9544.7,COMPLETED
ORD-0029,C008,P05,3,1416.33,COMPLETED
ORD-0030,C008,P02,2,21301.0,COMPLETED
ORD-0031,C009,P01,2,23084.19,COMPLETED
ORD-0032,C009,P05,3,1284.25,COMPLETED
ORD-0033,C009,P04,2,2678.75,COMPLETED
ORD-0034,C009,P01,1,12248.17,COMPLETED
ORD-0035,C010,P03,1,3015.81,COMPLETED
ORD-0036,C010,P01,1,10904.63,COMPLETED
ORD-0037,C010,P01,2,23073.75,COMPLETED
ORD-0038,C011,P05,3,1396.92,COMPLETED
ORD-0039,C011,P04,2,2650.18,COMPLETED
ORD-0040,C011,P02,2,14756.16,COMPLETED
ORD-0041,C011,P03,3,9894.94,COMPLETED
ORD-0042,C012,P05,1,475.1,COMPLETED
ORD-0043,C012,P01,1,11871.17,COMPLETED
ORD-0044,C012,P03,2,6483.43,COMPLETED
ORD-0045,C012,P02,1,8296.48,COMPLETED
ORD-0046,C013,P03,3,9172.81,COMPLETED
ORD-0047,C013,P04,2,3095.15,COMPLETED
ORD-0048,C013,P05,2,903.17,COMPLETED
ORD-0049,C013,P02,3,25646.63,COMPLETED
ORD-0050,C014,P01,3,33835.4,COMPLETED
ORD-0051,C014,P01,1,10431.34,COMPLETED
ORD-0052,C014,P02,3,23999.46,COMPLETED
ORD-0053,C014,P03,1,3189.17,COMPLETED
ORD-0054,C014,P03,2,6197.48,COMPLETED
ORD-0055,C015,P04,1,1490.84,COMPLETED
ORD-0056,C015,P02,2,16582.85,COMPLETED
ORD-0057,C015,P03,1,3429.89,COMPLETED
ORD-0058,C016,P03,1,3266.07,COMPLETED
ORD-0059,C016,P05,1,474.4,COMPLETED
ORD-0060,C016,P05,1,439.45,COMPLETED
ORD-0061,C016,P01,1,11610.35,COMPLETED
ORD-0062,C017,P02,1,8212.8,COMPLETED
ORD-0063,C017,P04,2,2904.55,COMPLETED
ORD-0064,C017,P05,1,520.86,COMPLETED
ORD-0065,C017,P01,2,24157.13,COMPLETED
ORD-0066,C017,P02,1,8052.32,COMPLETED
ORD-0067,C018,P03,2,7262.96,COMPLETED
ORD-0068,C018,P05,2,944.7,COMPLETED
ORD-0069,C019,P02,3,24330.43,COMPLETED
ORD-0070,C019,P03,3,8970.39,COMPLETED
ORD-0071,C019,P03,2,7204.63,COMPLETED
ORD-0072,C019,P03,2,6725.65,COMPLETED
ORD-0073,C019,P05,1,492.22,COMPLETED
ORD-0074,C020,P03,1,3436.6,COMPLETED
ORD-0075,C020,P05,3,1505.59,COMPLETED
ORD-0076,C021,P01,2,21505.03,COMPLETED
ORD-0077,C021,P04,1,1441.46,COMPLETED
ORD-0078,C021,P02,2,17271.29,COMPLETED
ORD-0079,C022,P01,3,32883.4,COMPLETED
ORD-0080,C022,P04,3,4086.83,COMPLETED
ORD-0081,C022,P04,2,2703.58,COMPLETED
ORD-0082,C023,P01,1,10307.79,COMPLETED
ORD-0083,C023,P04,1,1572.71,COMPLETED
ORD-0084,C023,P05,1,499.86,COMPLETED
ORD-0085,C023,P02,3,26231.58,COMPLETED
ORD-0086,C023,P01,1,10958.23,COMPLETED
ORD-0087,C024,P03,3,10314.49,COMPLETED
