cohort_month,tier,signups,retention_rate,avg_monthly_spend,support_tickets_per_user
2025-01,Enterprise,497,0.9351,5371.52,0.012
2025-02,Enterprise,452,0.869,4602.47,0.004
2025-03,Enterprise,176,0.8504,4426.42,0.034
2025-04,Enterprise,466,0.893,4387.15,0.015
2025-05,Enterprise,330,0.8388,4428.55,0.006
2025-06,Enterprise,383,0.887,4333.4,0.005
2025-07,Enterprise,271,0.9104,4546.63,0.018
2025-08,Enterprise,431,0.8816,4500.03,0.007
2025-09,Enterprise,417,0.8895,4470.81,0.017
2025-10,Enterprise,191,0.9272,4615.75,0.016
2025-11,Enterprise,212,0.8466,4857.34,0.009
2025-12,Enterprise,142,0.8944,3976.62,0.014
2025-01,Professional,434,0.7382,761.17,0.051
2025-02,Professional,228,0.7305,854.2,0.092
2025-03,Professional,346,0.7159,829.84,0.061
2025-04,Professional,229,0.7789,644.67,0.07
2025-05,Professional,413,0.7271,873.68,0.034
2025-06,Professional,124,0.6497,876.24,0.081
2025-07,Professional,341,0.6586,919.11,0.032
2025-08,Professional,394,0.7175,765.77,0.033
2025-09,Professional,194,0.772,896.61,0.067
2025-10,Professional,441,0.7671,885.13,0.036
2025-11,Professional,484,0.7376,916.24,0.045
2025-12,Professional,321,0.7227,794.21,0.053
2025-01,Starter,170,0.4211,135.65,0.118
2025-02,Starter,301,0.4835,143.42,0.073
2025-03,Starter,354,0.571,134.62,0.025
2025-04,Starter,309,0.4767,96.56,0.074
2025-05,Starter,167,0.5556,132.75,0.126
2025-06,Starter,498,0.4293,120.66,0.042
2025-07,Starter,388,0.4464,126.24,0.046
2025-08,Starter,151,0.5104,74.17,0.113
2025-09,Starter,371,0.4836,128.28,0.043
2025-10,Starter,307,0.3768,108.18,0.052
2025-11,Starter,438,0.4009,149.52,0.023
2025-12,Starter,295,0.5223,108.58,0.064
